AlgorithmID,AlgorithmName,EnglishName,ParentCategory,AlgorithmType,TimeComplexity,SpaceComplexity,Stability,UseCases,CoreIdea,ApplicableDomains,ProsConsAnalysis
A011,二分查找,Binary Search,搜索,分治搜索,O(log n),O(1),不适用,有序数据查找;字典查询;查找特定值,适用于有序数组。每次查找都通过比较中间元素与目标值，将查找范围缩小一半。如果中间元素等于目标值，则查找成功；如果目标值小于中间元素，则在左半部分继续查找；如果目标值大于中间元素，则在右半部分继续查找，直到找到或查找范围为空。,计算机科学;软件工程;数据库查询,优点：效率高，时间复杂度为O(log n)，对于大规模有序数据查找非常快。缺点：要求数据必须是有序的，且只能在顺序存储结构（如数组）上进行操作，对链表等不适用。插入和删除操作会破坏有序性，需要重新排序。
A012,深度优先搜索,DFS,图算法,图遍历,O(V+E),O(V),不适用,图遍历;路径查找;连通性判断;拓扑排序,从图中某个顶点V出发，访问此顶点，然后依次从V的未被访问的邻接点出发，深度优先遍历图，直到图中所有和V有路径相通的顶点都被访问到。如果图中还有未被访问的顶点，则选择其中一个作为起始点，重复上述过程。核心思想是“不撞南墙不回头”。,计算机科学;图论;人工智能,优点：实现简单，可以找到所有连通的顶点。适用于寻找路径、判断连通性等。缺点：不保证找到最短路径。对于大规模图，递归深度可能过大导致栈溢出。
A013,广度优先搜索,BFS,图算法,图遍历,O(V+E),O(V),不适用,图遍历;最短路径查找(无权图);网络爬虫;社交网络分析,从图中某个顶点V出发，先访问其所有邻接点，再依次访问这些邻接点的所有未被访问的邻接点，以此类推，逐层向外扩展，直到所有可达顶点都被访问。核心思想是“层层推进”。,计算机科学;图论;人工智能;网络,优点：能够找到无权图中的最短路径。实现简单，通常使用队列来辅助实现，避免了深度优先搜索可能出现的栈溢出问题。缺点：需要额外的空间来存储队列。对于某些问题，可能需要遍历更多的节点才能找到目标。
A014,Dijkstra算法,Dijkstra's Algorithm,图算法,最短路径,O(E log V) 或 O(V^2),O(V),不适用,单源最短路径(非负权);网络路由;地图导航,用于计算从图中一个顶点到所有其他顶点的最短路径，前提是边的权重是非负的。它维护一个顶点集合，这些顶点的最短路径已经被确定。每次迭代从剩余顶点中选择一个距离源点最近的顶点，并更新其邻接点的距离。,计算机科学;图论;网络路由;地理信息系统,优点：能够正确计算出单源最短路径，且算法思想直观易懂。对于非负权图，效率较高。缺点：不能处理负权边。对于边数E远大于顶点数V的稠密图，效率可能不如Bellman-Ford算法。
A015,Floyd-Warshall算法,Floyd-Warshall Algorithm,图算法,最短路径,O(V^3),O(V^2),不适用,所有顶点对最短路径;交通规划;旅行商问题变种,用于计算图中所有顶点对之间的最短路径。它通过动态规划的思想，逐步考虑所有可能的中间顶点，来更新任意两点之间的最短路径。算法的核心在于三重循环，外层循环遍历中间顶点，内层循环遍历起始点和终止点。,计算机科学;图论;运筹学,优点：能够处理带负权边的图（但不处理负权环）。算法简洁，易于实现。可以找到所有顶点对之间的最短路径。缺点：时间复杂度为O(V^3)，对于大规模图效率较低。空间复杂度为O(V^2)。
A016,Prim算法,Prim's Algorithm,图算法,最小生成树,O(E log V) 或 O(V^2),O(V),不适用,最小生成树;网络设计;电路布线,从一个起始顶点开始，逐步添加边来构建最小生成树。每次选择一条连接树中顶点和树外顶点，且权重最小的边，并将其对应的树外顶点加入到树中，直到所有顶点都被包含在树中。它类似于Dijkstra算法，但目的是找到最小生成树而不是最短路径。,计算机科学;图论;网络设计,优点：能够正确找到连通图的最小生成树。对于稠密图（边数多）效率较高（使用邻接矩阵实现时）。缺点：对于稀疏图（边数少），Kruskal算法通常更优。
A017,Kruskal算法,Kruskal's Algorithm,图算法,最小生成树,O(E log E) 或 O(E log V),O(V+E),不适用,最小生成树;网络设计;电路布线,将图中所有边按权重从小到大排序，然后依次遍历每条边。如果当前边连接的两个顶点不在同一个连通分量中，则将这条边加入到最小生成树中，并合并这两个连通分量。直到生成树包含V-1条边。通常使用并查集来判断和合并连通分量。,计算机科学;图论;网络设计,优点：能够正确找到连通图的最小生成树。对于稀疏图（边数少）效率较高。算法思想相对直观，易于理解。缺点：需要对边进行排序，对于边数非常多的图，排序可能耗时。
A018,拓扑排序,Topological Sort,图算法,图遍历,O(V+E),O(V),不适用,任务调度;课程安排;依赖解决,对有向无环图（DAG）的顶点进行线性排序，使得对于每条有向边(u，v)，顶点u都在顶点v之前。通常有两种实现方式：Kahn算法（基于入度）和DFS算法（基于深度优先遍历）。,计算机科学;图论;项目管理;编译器设计,优点：能够解决有向无环图中的依赖关系问题，确保任务按正确的顺序执行。缺点：只能应用于有向无环图，对于有环图无法进行拓扑排序。结果可能不唯一。
A019,Bellman-Ford算法,Bellman-Ford Algorithm,图算法,最短路径,O(VE),O(V),不适用,单源最短路径(含负权);负权环检测,用于计算从单个源点到所有其他顶点的最短路径，可以处理边的权重为负数的情况。它通过V-1次迭代，每次迭代都尝试对所有边进行松弛操作，以逐步找到最短路径。如果在第V次迭代时仍能进行松弛，则说明图中存在负权环。,计算机科学;图论;网络路由,优点：能够正确处理含有负权边的图，并且可以检测出负权环。缺点：时间复杂度为O(VE)，比Dijkstra算法慢，对于大规模图效率较低。
A020,A*搜索算法,A* Search Algorithm,搜索,启发式搜索;图遍历,O(E) (取决于启发函数),O(V),不适用,路径规划;游戏AI;机器人导航,A*算法是一种启发式搜索算法，用于在图中找到从起点到终点的最短路径。它结合了Dijkstra算法（保证找到最短路径）和贪婪最佳优先搜索（利用启发式信息加速搜索）。它通过评估函数 $f(n) = g(n) + h(n)$ 来选择下一个要扩展的节点，其中$g(n)$是从起点到当前节点的实际代价，$h(n)$是从当前节点到目标节点的估计代价（启发式函数）。,计算机科学;人工智能;游戏开发;机器人学,优点：在许多实际应用中比Dijkstra算法效率更高，因为它利用启发式信息来指导搜索方向，通常能更快地找到最短路径。如果启发式函数是可接受的（Admissible）且一致的（Consistent），A*算法能保证找到最优解。缺点：启发式函数的选择至关重要，不好的启发式函数可能导致性能下降甚至退化为Dijkstra或BFS。需要存储已访问节点，可能占用大量内存。
A021,KMP算法,KMP Algorithm,字符串,模式匹配,O(m+n),O(m),不适用,字符串查找;文本编辑器的查找功能,Knuth-Morris-Pratt算法是一种字符串匹配算法。它通过预处理模式串（构建一个部分匹配表，也称作next数组），在匹配过程中当出现不匹配时，可以利用已经匹配过的信息，避免模式串指针回溯，从而提高效率。核心思想是利用模式串自身的特性，避免不必要的比较。,计算机科学;文本处理;生物信息学,优点：时间复杂度为O(m+n)，是线性时间复杂度，效率高，优于朴素的字符串匹配算法。避免了主串指针的回溯，提高了匹配效率。缺点：算法理解和实现相对复杂，需要预处理模式串。
A022,Rabin-Karp算法,Rabin-Karp Algorithm,字符串,模式匹配,平均O(m+n)，最坏O(mn),O(m),不适用,字符串查找;文本编辑器的查找功能;剽窃检测,Rabin-Karp算法是一种基于哈希的字符串匹配算法。它通过计算模式串和文本串中每个子串的哈希值，然后比较哈希值来判断是否匹配。当哈希值匹配时，再进行一次字符级别的比较以避免哈希冲突。核心思想是滚动哈希，高效地计算每个子串的哈希值。,计算机科学;文本处理;信息检索,优点：平均时间复杂度为O(m+n)，在实际应用中效率较高。易于扩展到多模式匹配。缺点：最坏情况下时间复杂度可能退化到O(mn)，当哈希冲突频繁发生时。需要选择合适的哈希函数和模数来减少冲突。
A023,Boyer-Moore算法,Boyer-Moore Algorithm,字符串,模式匹配,平均O(n/m)，最坏O(mn),O(字符集大小),不适用,字符串查找;文本编辑器的查找功能,Boyer-Moore算法是一种高效的字符串匹配算法。它从模式串的末尾开始与文本串进行比较，当出现不匹配时，根据“坏字符规则”和“好后缀规则”尽可能大地向右移动模式串，从而跳过不必要的比较。核心思想是利用不匹配信息进行大步跳跃。,计算机科学;文本处理;信息检索,优点：在实际应用中通常比KMP算法更快，平均时间复杂度接近O(n/m)，效率非常高。缺点：最坏情况下时间复杂度为O(mn)。算法理解和实现相对复杂。
A024,Manacher算法,Manacher's Algorithm,字符串,模式匹配,O(n),O(n),不适用,最长回文子串查找,Manacher算法用于在线性时间内找到一个字符串中的最长回文子串。它通过预处理字符串（插入特殊字符以处理奇偶长度回文串），然后利用回文串的对称性，避免重复计算，从而达到线性时间复杂度。核心思想是利用已计算的回文半径，跳过不必要的比较。,计算机科学;字符串处理,优点：时间复杂度为O(n)，是线性时间算法，非常高效。能够处理所有情况（奇数和偶数长度回文串）。缺点：算法理解和实现相对复杂，需要对字符串进行预处理。
A025,Z算法,Z-Algorithm,字符串,模式匹配,O(n+m),O(n+m),不适用,字符串匹配;模式匹配;LCP数组构建,Z算法（也称为Z-box算法）用于计算一个字符串S的Z数组。Z数组$Z[i]$表示S和S的后缀$S[i..]$的最长公共前缀的长度。通过计算Z数组，可以高效地进行字符串匹配。核心思想是利用已经计算的Z值，避免重复比较，实现线性时间复杂度。,计算机科学;字符串处理;文本分析,优点：时间复杂度为O(n+m)，是线性时间算法，非常高效。可以用于解决字符串匹配问题，比KMP更易于理解和实现。缺点：相对KMP，其应用场景可能更专注于LCP（最长公共前缀）的计算，但同样可以解决模式匹配。
A026,最长公共子序列,Longest Common Subsequence (LCS),动态规划,序列比对,O(mn),O(mn),不适用,DNA序列比对;文件差异比较;版本控制,LCS算法通过动态规划来解决。它构建一个二维DP表，其中$DP[i][j]$表示字符串A的前i个字符和字符串B的前j个字符的最长公共子序列的长度。通过比较字符，并根据匹配或不匹配的情况，从前一个子问题的解推导出当前子问题的解。,计算机科学;生物信息学;文本处理,优点：能够找到两个序列的最长公共子序列，在许多领域有广泛应用。缺点：时间复杂度为O(mn)，空间复杂度也为O(mn)，对于非常长的序列可能效率较低或内存消耗大。
A027,0/1背包问题,0/1 Knapsack Problem,动态规划,优化问题,O(nW),O(nW) 或 O(W),不适用,资源分配;物品选择;投资组合优化,给定一组物品，每种物品都有自己的重量和价值，在限定的总重量内，选择其中一部分物品，使得总价值最大。0/1背包问题意味着每种物品只能选择一次（0或1）。通过动态规划构建DP表，$DP[i][w]$表示前i个物品在容量为w时的最大价值。,计算机科学;运筹学;算法竞赛,优点：能够找到最优解。动态规划方法思路清晰，易于理解和实现。缺点：时间复杂度为O(nW)，其中W是背包容量，当W非常大时，效率会很低。属于NP-hard问题，动态规划是伪多项式时间解法。
A028,完全背包问题,Unbounded Knapsack Problem,动态规划,优化问题,O(nW),O(nW) 或 O(W),不适用,资源分配;物品选择;找零钱问题,与0/1背包问题类似，但每种物品可以无限次选择。动态规划的递推关系略有不同，允许从当前物品再次选择。$DP[w]$表示容量为w时的最大价值，在计算$DP[w]$时，可以考虑多次选择同一个物品。,计算机科学;运筹学;算法竞赛,优点：能够找到最优解。适用于物品可以重复选择的场景。缺点：时间复杂度为O(nW)，当W非常大时，效率会很低。
A029,最长递增子序列,Longest Increasing Subsequence (LIS),动态规划,序列问题,O(n log n) 或 O(n^2),O(n),不适用,序列分析;数据挖掘;生物信息学,LIS算法的目标是找到一个序列中最长的严格递增的子序列。可以通过动态规划实现，其中$DP[i]$表示以第i个元素结尾的最长递增子序列的长度。更优的O(n log n)方法利用二分查找来维护一个最小末尾元素数组。,计算机科学;数据分析;算法竞赛,优点：能够找到序列中的最长递增子序列。O(n log n)的方法效率较高。缺点：O(n^2)的方法对于大规模数据效率较低。
A030,编辑距离,Edit Distance (Levenshtein Distance),动态规划,序列比对;字符串相似度,O(mn),O(mn) 或 O(min(m，n)),不适用,拼写检查;基因序列比对;自然语言处理,编辑距离（或Levenshtein距离）是衡量两个字符串之间相似度的一种指标，表示将一个字符串转换成另一个字符串所需的最少单字符编辑操作（插入、删除或替换）的次数。通过动态规划构建DP表，$DP[i][j]$表示第一个字符串的前i个字符和第二个字符串的前j个字符之间的编辑距离。,计算机科学;自然语言处理;生物信息学,优点：能够准确衡量字符串之间的相似度，在许多文本处理任务中非常有用。缺点：时间复杂度为O(mn)，空间复杂度也为O(mn)，对于非常长的字符串可能效率较低或内存消耗大。
A031,矩阵链乘法,Matrix Chain Multiplication,动态规划,优化问题,O(n^3),O(n^2),不适用,矩阵运算优化,给定一系列矩阵，找出一种乘法顺序，使得总的乘法次数最少。矩阵乘法满足结合律但不满足交换律。通过动态规划，将问题分解为子问题，计算每个子链的最优乘法次数，并存储结果以避免重复计算。,计算机科学;线性代数;数值计算,优点：能够找到矩阵链乘法的最优顺序，显著减少计算量。缺点：时间复杂度为O(n^3)，其中n是矩阵的数量，对于大量矩阵的链乘效率较低。
A032,最长回文子串,Longest Palindromic Substring,动态规划,字符串处理,O(n^2),O(n^2),不适用,文本处理;生物信息学,通过动态规划，定义$DP[i][j]$为布尔值，表示从索引i到j的子串是否为回文串。如果$S[i] == S[j]$且$DP[i+1][j-1]$为真，则$DP[i][j]$为真。遍历所有可能的子串，并记录最长的回文子串。,计算机科学;字符串处理,优点：能够找到字符串中的最长回文子串。动态规划方法思路清晰。缺点：时间复杂度为O(n^2)，空间复杂度为O(n^2)，对于长字符串效率较低。Manacher算法可以达到O(n)时间复杂度。
A033,背包问题,Knapsack Problem (General),动态规划,优化问题,O(nW),O(nW),不适用,资源分配;项目选择;组合优化,一个通用的概念，包含0/1背包、完全背包、多重背包等变种。核心思想是给定一组物品，每件物品有重量和价值，目标是在不超过背包容量的前提下，使装入背包的物品总价值最大。,计算机科学;运筹学;算法竞赛,优点：能够解决多种资源分配和优化问题，找到最优解。动态规划是解决这类问题的标准方法。缺点：通常具有伪多项式时间复杂度，当背包容量或物品数量非常大时，计算成本高昂。
A034,最长公共子串,Longest Common Substring,动态规划,字符串相似度,O(mn),O(mn),不适用,文本相似度;DNA序列比对,与最长公共子序列不同，子串要求字符在原字符串中是连续的。通过动态规划，定义$DP[i][j]$为以$S1[i]$和$S2[j]$结尾的最长公共子串的长度。如果$S1[i] == S2[j]$，则$DP[i][j] = DP[i-1][j-1] + 1$，否则为0。记录DP表中的最大值。,计算机科学;字符串处理;生物信息学,优点：能够找到两个字符串中的最长公共子串。缺点：时间复杂度为O(mn)，空间复杂度为O(mn)，对于长字符串效率较低。
A035,区间DP,Interval Dynamic Programming,动态规划,区间问题,O(n^3),O(n^2),不适用,石子合并;括号匹配;最优二叉搜索树,区间DP通常用于解决与区间相关的优化问题。其核心思想是将一个大区间的问题分解为更小的子区间问题，然后通过子问题的解来推导大问题的解。通常采用枚举分割点的方式进行状态转移。,计算机科学;算法竞赛,优点：能够解决一类具有最优子结构和重叠子问题的区间优化问题。缺点：通常时间复杂度较高，为O(n^3)，空间复杂度为O(n^2)。
A036,数位DP,Digit Dynamic Programming,动态规划,计数问题,O(log N * K),O(log N * K),不适用,统计满足特定条件的数字个数,数位DP用于解决在一给定区间$[L，R]$内，统计满足某种性质的数字的个数。它将数字按位分解，通过DP状态来记录当前位、是否达到上限、是否包含前导零等信息，从而避免重复计算。核心思想是记忆化搜索或迭代DP。,计算机科学;算法竞赛,优点：能够高效解决特定区间内数字计数问题，避免暴力枚举。缺点：状态定义和转移相对复杂，需要仔细考虑边界条件和各种状态。
A037,状态压缩DP,State Compression Dynamic Programming,动态规划,组合优化,O(N * 2^N * M),O(N * 2^N),不适用,旅行商问题;TSP;哈密顿回路;集合覆盖,当问题的状态可以用一个二进制数（位运算）来表示时，可以使用状态压缩DP。例如，旅行商问题中，一个二进制数可以表示已经访问过的城市集合。DP状态通常包含当前位置和已访问状态。,计算机科学;算法竞赛;组合优化,优点：能够解决一些NP-hard问题的特定规模实例，将指数级的搜索空间通过DP优化。缺点：时间复杂度和空间复杂度都与$2^N$相关，因此N不能太大（通常N<20）。
A038,树形DP,Tree Dynamic Programming,动态规划,树结构问题,O(N) 或 O(N log N),O(N),不适用,树的最大独立集;树的直径;树的重心,树形DP是应用于树结构上的动态规划。它利用树的递归性质，从叶子节点向根节点（或从根节点向叶子节点）进行状态转移，通常通过DFS遍历计算子树的信息，然后合并到父节点。常见的状态定义包括以当前节点为根的子树的信息。,计算机科学;算法竞赛;网络拓扑分析,优点：能够高效解决树结构上的优化和计数问题，时间复杂度通常为O(N)。缺点：需要对树的遍历和状态转移有深入理解，状态定义可能比较灵活。
A039,期望DP,Expected Value Dynamic Programming,动态规划,概率问题,O(N*M),O(N*M),不适用,概率游戏;随机过程分析,期望DP用于计算某种随机过程的期望值。DP状态通常表示在某个状态下，达到目标状态的期望步数或期望收益。状态转移方程涉及概率和期望的计算，通常是倒序推导（从目标状态推向初始状态）。,计算机科学;概率论;算法竞赛,优点：能够解决涉及概率和期望的复杂问题。缺点：状态定义和转移方程的推导相对复杂，需要扎实的概率论基础。
A040,回溯算法,Backtracking Algorithm,搜索,组合问题,指数级,O(N) (递归栈),不适用,组合问题;排列问题;子集问题;N皇后问题;数独求解,回溯算法是一种通过探索所有可能的候选解来找出所有的解的算法。当算法在搜索过程中发现当前路径不可能达到目标时，就“回溯”到上一步，尝试另一条路径。它是一种深度优先遍历思想的应用，通常用递归实现。,计算机科学;人工智能;组合优化,优点：能够找到所有可能的解，或找到满足条件的第一个解。适用于解决组合、排列、子集等问题。缺点：时间复杂度通常是指数级的，对于大规模问题效率极低。需要剪枝操作来优化性能。
A041,贪心算法,Greedy Algorithm,优化问题,局部最优,多变,多变,不适用,活动选择问题;霍夫曼编码;最小生成树(Kruskal，Prim),在每一步选择中都采取在当前状态下最好或最优（即最有利）的选择，从而希望导致结果是全局最好或最优的算法。它不考虑后续步骤的影响，只关注当前局部最优解。,计算机科学;运筹学;算法竞赛,优点：算法简单，易于实现，效率通常较高。在某些问题上能够找到全局最优解。缺点：不一定能找到全局最优解，只有当问题具有“贪心选择性质”和“最优子结构性质”时才能保证正确性。需要证明其正确性。
A042,分治算法,Divide and Conquer Algorithm,通用算法范式,递归,多变,多变,不适用,归并排序;快速排序;大整数乘法;最近点对问题,将一个大规模问题分解为若干个规模较小的相同子问题，对这些子问题进行求解，然后将子问题的解合并，得到原问题的解。通常采用递归实现。,计算机科学;算法设计,优点：能够将复杂问题分解为更易于管理和解决的子问题。许多高效算法都基于分治思想。易于并行化。缺点：递归实现可能导致额外的空间开销（栈空间）。子问题的划分和合并需要仔细设计。
A043,蒙特卡罗方法,Monte Carlo Method,随机算法,数值计算;模拟,多变,多变,不适用,积分计算;金融建模;物理模拟;复杂系统行为预测,蒙特卡罗方法是一类通过随机采样或模拟来解决计算问题的方法。它利用随机数生成大量的样本，然后通过统计这些样本来估计问题的解。例如，通过在正方形内随机投点来估计圆周率。,计算机科学;统计学;金融;物理学,优点：适用于解决那些难以用确定性算法解决的问题，尤其是高维问题。易于实现，可以得到近似解。缺点：结果是概率性的，需要足够多的样本才能保证精度。收敛速度通常较慢，精度提高需要大量计算资源。
A044,拉斯维加斯算法,Las Vegas Algorithm,随机算法,优化问题;搜索,多变,多变,不适用,八皇后问题;素数测试(Miller-Rabin),拉斯维加斯算法是一种随机化算法，它总是能给出正确的结果，但运行时间是不确定的。它通过随机选择来寻找解，如果找不到，则重新尝试，直到找到为止。与蒙特卡罗算法不同，它不牺牲结果的正确性。,计算机科学;密码学;算法设计,优点：总是能给出正确答案。在某些情况下，其平均运行时间可能远优于确定性算法。缺点：运行时间不确定，最坏情况下可能非常慢。
A045,遗传算法,Genetic Algorithm (GA),优化算法,启发式搜索;仿生算法,多变,多变,不适用,组合优化;机器学习参数优化;工程设计,遗传算法是一种模拟自然选择和遗传机制的全局优化算法。它通过模拟生物进化过程中的选择、交叉（Crossover）和变异（Mutation）等操作，迭代地改进解的种群，最终收敛到最优解或近似最优解。适用于解决复杂的优化问题。,计算机科学;人工智能;机器学习;运筹学,优点：能够处理复杂的、非线性的、多模态的优化问题，不依赖于梯度信息。具有全局搜索能力，可以避免陷入局部最优。缺点：收敛速度可能较慢。参数选择（种群大小、交叉率、变异率等）对性能影响大，需要经验调整。不保证找到全局最优解，通常是近似最优解。
A046,模拟退火算法,Simulated Annealing (SA),优化算法,启发式搜索,多变,多变,不适用,组合优化;VLSI设计;图像处理,模拟退火算法是一种基于物理退火过程的启发式搜索算法，用于解决组合优化问题。它从一个随机初始解开始，通过随机扰动生成新解。与贪心算法不同，它以一定的概率接受较差的解，从而跳出局部最优，随着“温度”的降低，接受较差解的概率逐渐减小，最终收敛到全局最优解或近似最优解。,计算机科学;人工智能;机器学习;运筹学,优点：能够跳出局部最优，具有全局搜索能力。适用于解决复杂的组合优化问题，不依赖于梯度信息。缺点：收敛速度可能较慢。参数（初始温度、降温速率、迭代次数等）的选择对性能影响大，需要经验调整。不保证找到全局最优解。
A047,蚁群算法,Ant Colony Optimization (ACO),优化算法,启发式搜索;仿生算法,多变,多变,不适用,旅行商问题;路径规划;网络路由,蚁群算法是一种模拟蚂蚁觅食行为的启发式优化算法。蚂蚁在寻找食物时会释放信息素，其他蚂蚁会倾向于沿着信息素浓度高的路径前进。算法通过模拟信息素的积累和挥发过程，最终找到最优路径。适用于解决组合优化问题。,计算机科学;人工智能;机器学习;运筹学,优点：具有分布式计算的特点，鲁棒性强，能够处理动态问题。适用于解决旅行商问题等复杂的组合优化问题。缺点：收敛速度可能较慢。参数选择（信息素挥发率、信息素增加量等）对性能影响大。
A048,粒子群优化算法,Particle Swarm Optimization (PSO),优化算法,启发式搜索;仿生算法,多变,多变,不适用,函数优化;机器学习参数优化;图像处理,粒子群优化算法是一种模拟鸟群觅食行为的启发式优化算法。它将每个候选解看作一个在搜索空间中飞行的“粒子”，每个粒子根据其自身找到的最佳位置和整个群体找到的最佳位置来调整其飞行速度和位置，从而逐步逼近最优解。,计算机科学;人工智能;机器学习;优化,优点：算法简单，易于实现，参数较少。收敛速度相对较快。适用于解决连续函数优化问题。缺点：容易陷入局部最优，尤其是在高维复杂问题中。对参数选择敏感。
